t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
2908.38,100,59,45851,81920,277.39,400.00,1410,44
2918.41,100,63,45851,81920,282.91,400.00,1410,44
2928.43,100,47,45851,81920,368.38,400.00,1410,50
2938.46,100,50,45851,81920,355.30,400.00,1410,48
2948.49,96,50,45851,81920,384.67,400.00,1410,50
2958.53,100,54,45851,81920,263.20,400.00,1410,44
2968.56,100,60,45851,81920,274.21,400.00,1410,43
2978.58,100,49,45851,81920,330.14,400.00,1395,47
2988.61,97,48,45851,81920,338.77,400.00,1410,49
2998.64,96,49,45851,81920,361.29,400.00,1410,49
3008.67,96,47,45851,81920,366.79,400.00,1410,50
3018.7,100,58,45851,81920,261.77,400.00,1410,43
3028.73,100,65,45851,81920,289.40,400.00,1410,44
3038.76,100,49,45851,81920,375.89,400.00,1410,51
3048.79,100,49,45851,81920,351.64,400.00,1365,49
3058.82,100,52,45851,81920,352.99,400.00,1410,49
3068.86,100,55,45851,81920,266.96,400.00,1410,44
3078.89,98,63,45851,81920,289.65,400.00,1410,44
3088.91,100,55,45851,81920,410.17,400.00,1410,50
3098.95,100,49,45851,81920,235.93,400.00,1395,47
3108.98,100,59,45851,81920,353.64,400.00,1410,51
3119.01,100,50,45851,81920,362.50,400.00,1410,50
3129.04,100,58,45851,81920,271.48,400.00,1410,44
3139.07,100,61,45851,81920,267.90,400.00,1410,44
3149.1,100,41,45851,81920,482.57,400.00,1365,51
3159.15,100,50,45851,81920,361.39,400.00,1410,50
3169.18,100,51,45851,81920,353.53,400.00,1410,50
3179.2,100,56,45851,81920,263.41,400.00,1410,45
3189.23,100,58,45851,81920,263.85,400.00,1410,44
3199.26,100,50,45851,81920,369.20,400.00,1410,50
3209.29,98,78,45851,81920,321.03,400.00,1410,50
3219.32,100,50,45851,81920,351.53,400.00,1410,50
3229.35,100,52,45851,81920,259.33,400.00,1410,45
3239.38,100,60,45851,81920,274.61,400.00,1410,45
3249.41,100,49,45851,81920,351.68,400.00,1410,49
3259.43,100,57,45851,81920,289.69,400.00,1410,49
3269.46,100,50,45851,81920,316.26,400.00,1410,51
3279.49,96,48,45851,81920,357.19,400.00,1410,52
3289.52,100,59,45851,81920,281.56,400.00,1410,46
3299.55,100,66,45851,81920,299.46,400.00,1410,47
3309.57,100,36,45851,81920,404.30,400.00,1410,54
3319.6,100,51,45851,81920,346.94,400.00,1410,53
3329.63,100,50,45851,81920,389.40,400.00,1410,54
3339.66,100,55,45851,81920,268.26,400.00,1410,48
3349.69,100,62,45851,81920,298.56,400.00,1410,48
3359.72,100,55,45851,81920,359.58,400.00,1410,53
3369.75,100,50,45851,81920,370.02,400.00,1380,53
3379.78,100,66,45851,81920,351.12,400.00,1410,53
3389.81,100,50,45851,81920,257.16,400.00,1410,49
3399.84,100,56,45851,81920,260.93,400.00,1410,47
3409.87,100,56,45851,81920,372.94,400.00,1410,51
3419.89,100,49,45851,81920,331.18,400.00,1410,53
3429.93,100,49,45851,81920,377.95,400.00,1395,53
3439.96,100,50,45851,81920,341.11,400.00,1410,54
3449.98,100,60,45851,81920,291.86,400.00,1410,51
3460.01,100,64,45851,81920,292.70,400.00,1410,52
3470.04,100,40,45851,81920,383.73,400.00,1395,60
3480.06,100,50,45851,81920,370.65,400.00,1410,58
3490.09,100,51,45851,81920,360.96,400.00,1410,58
3500.12,100,55,45851,81920,276.96,400.00,1410,54
3510.15,100,60,45851,81920,282.36,400.00,1410,53
3520.18,100,54,45851,81920,373.37,400.00,1410,58
3530.21,100,50,45851,81920,350.85,400.00,1410,58
3540.24,100,51,45851,81920,377.77,400.00,1410,59
3550.27,100,52,45851,81920,270.41,400.00,1410,54
3560.29,100,60,45851,81920,290.18,400.00,1410,53
3570.32,100,49,45851,81920,340.07,400.00,1395,54
3580.35,100,64,45851,81920,360.66,400.00,1410,57
3590.38,96,47,45851,81920,227.60,400.00,1410,57
3600.41,100,50,45851,81920,373.39,400.00,1395,56
3610.44,100,59,45851,81920,283.77,400.00,1410,51
3620.47,100,62,45851,81920,289.69,400.00,1410,50
3630.5,100,49,45851,81920,408.84,400.00,1410,57
3640.53,96,48,45851,81920,376.88,400.00,1410,56
3650.56,98,80,45851,81920,283.23,400.00,1380,56
3660.59,100,54,45851,81920,275.62,400.00,1410,51
3670.61,100,60,45851,81920,282.16,400.00,1410,51
3680.64,100,57,45851,81920,359.27,400.00,1410,56
3690.67,100,60,45851,81920,381.93,400.00,1410,58
3700.7,96,48,45851,81920,377.77,400.00,1380,58
3710.73,100,51,45851,81920,263.10,400.00,1410,52
3720.77,100,58,45851,81920,272.19,400.00,1410,51
3730.79,100,54,45851,81920,357.40,400.00,1410,54
3740.82,100,51,45851,81920,357.93,400.00,1410,56
3750.85,100,48,45851,81920,365.72,400.00,1380,54
3760.88,100,51,45851,81920,352.88,400.00,1410,56
3770.91,100,61,45851,81920,291.87,400.00,1410,50
3780.94,100,67,45851,81920,306.11,400.00,1410,50
3790.97,100,49,45851,81920,343.06,400.00,1395,55
3801.0,100,51,45851,81920,332.41,400.00,1410,53
3811.03,100,52,45851,81920,288.44,400.00,1410,53
3821.06,100,55,45851,81920,268.21,400.00,1410,48
3831.09,100,61,45851,81920,284.67,400.00,1410,47
3841.12,100,55,45851,81920,347.89,400.00,1410,52
3851.14,96,50,45851,81920,368.67,400.00,1410,53
3861.17,100,56,45851,81920,326.14,400.00,1410,51
3871.2,100,52,45851,81920,263.94,400.00,1410,47
3881.23,100,63,45851,81920,294.14,400.00,1410,47
3891.26,77,53,45851,81920,89.51,400.00,1410,41
3901.28,100,45,45851,81920,378.94,400.00,1410,54
3911.31,100,50,45851,81920,361.57,400.00,1410,52
3921.34,100,50,45851,81920,486.15,400.00,1380,52
3931.37,100,56,45851,81920,277.16,400.00,1410,45
3941.41,100,64,45851,81920,284.47,400.00,1410,45
3951.43,100,36,45851,81920,393.85,400.00,1410,52
3961.46,100,50,45851,81920,276.52,400.00,1395,49
3971.49,100,66,45851,81920,324.94,400.00,1410,51
3981.52,100,53,45851,81920,260.16,400.00,1410,45
3991.55,100,62,45851,81920,285.69,400.00,1410,45
4001.57,100,50,45851,81920,317.03,400.00,1395,49
4011.61,100,52,45851,81920,334.15,400.00,1410,49
4021.64,100,67,45851,81920,324.11,400.00,1410,50
4031.66,96,48,45851,81920,367.42,400.00,1410,52
4041.69,100,58,45851,81920,274.42,400.00,1410,45
4051.72,100,64,45851,81920,286.46,400.00,1410,45
4061.75,100,48,45851,81920,434.66,400.00,1380,49
4071.78,96,46,45851,81920,356.87,400.00,1410,51
