t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
597.55,0,0,74395,81920,71.16,400.00,1155,35
599.66,0,0,74395,81920,71.23,400.00,1155,35
601.72,0,0,74395,81920,71.16,400.00,1155,35
603.79,0,0,74395,81920,71.16,400.00,1155,35
605.86,0,0,74395,81920,71.16,400.00,1155,35
607.92,0,0,74395,81920,71.16,400.00,1155,35
609.99,0,0,74395,81920,71.16,400.00,1155,35
612.06,0,0,74395,81920,71.16,400.00,1155,35
614.13,0,0,74395,81920,71.43,400.00,1155,35
616.19,0,0,74395,81920,71.43,400.00,1155,35
618.26,0,0,74395,81920,71.43,400.00,1155,35
620.4,0,0,74395,81920,71.16,400.00,1155,35
622.47,0,0,74395,81920,71.16,400.00,1155,35
624.53,0,0,74395,81920,71.16,400.00,1155,35
626.6,0,0,74395,81920,71.23,400.00,1155,35
628.66,0,0,74395,81920,71.43,400.00,1155,35
630.72,0,0,74395,81920,71.16,400.00,1155,35
632.78,0,0,74395,81920,71.43,400.00,1155,35
634.85,0,0,74395,81920,71.43,400.00,1155,35
636.91,0,0,74395,81920,71.43,400.00,1155,35
639.06,0,0,74395,81920,71.43,400.00,1155,35
641.13,0,0,74395,81920,71.43,400.00,1155,35
643.2,0,0,74395,81920,71.43,400.00,1155,35
645.27,0,0,74395,81920,71.43,400.00,1155,35
647.34,0,0,74395,81920,71.16,400.00,1155,35
649.5,0,0,74395,81920,71.16,400.00,1155,35
651.56,0,0,74395,81920,71.16,400.00,1155,35
653.63,0,0,74395,81920,71.23,400.00,1155,35
655.7,0,0,74395,81920,71.16,400.00,1155,35
657.77,0,0,74395,81920,71.16,400.00,1155,35
659.97,0,0,74395,81920,71.23,400.00,1155,35
662.03,0,0,74395,81920,71.16,400.00,1155,35
664.1,0,0,74395,81920,71.16,400.00,1155,35
666.17,0,0,74395,81920,71.16,400.00,1155,35
668.23,0,0,74395,81920,71.43,400.00,1155,35
670.31,0,0,74395,81920,71.16,400.00,1155,35
672.37,0,0,74395,81920,71.43,400.00,1155,35
674.44,0,0,74395,81920,71.16,400.00,1155,35
676.51,0,0,74395,81920,71.16,400.00,1155,35
678.57,0,0,74395,81920,71.16,400.00,1155,35
680.72,0,0,74395,81920,71.16,400.00,1155,35
682.79,0,0,74395,81920,71.16,400.00,1155,35
684.86,0,0,74395,81920,71.16,400.00,1155,35
686.93,0,0,74395,81920,71.23,400.00,1155,35
688.99,0,0,74395,81920,71.16,400.00,1155,35
691.06,0,0,74395,81920,71.16,400.00,1155,35
693.11,0,0,74395,81920,71.16,400.00,1155,35
695.18,0,0,74395,81920,71.16,400.00,1155,35
697.25,0,0,74395,81920,71.16,400.00,1155,35
699.31,0,0,74395,81920,71.16,400.00,1155,35
701.44,0,0,74395,81920,71.16,400.00,1155,35
703.51,0,0,74395,81920,71.16,400.00,1155,35
705.57,0,0,74395,81920,71.16,400.00,1155,35
707.64,0,0,74395,81920,71.16,400.00,1155,35
709.7,0,0,74395,81920,71.43,400.00,1155,35
711.77,0,0,74395,81920,71.43,400.00,1155,35
